Bank Name ,City ,State ,Cert ,Acquiring Institution ,Closing Date ,Fund
"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,34738,"Bank of Southern California, N.A.",2014-11-07,10508
Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,2012-04-27,10437
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,2011-09-23,10397
"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,2011-02-18,10346
Charter Oak Bank,Napa,CA,57855,Bank of Marin,2011-02-18,10343
Canyon National Bank,Palm Springs,CA,34692,Pacific Premier Bank,2011-02-11,10340
First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,2010-11-05,10307
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,2010-11-05,10310
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,2010-08-20,10285
Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,2010-08-20,10282
Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",2010-08-20,10278
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",2010-08-20,10283
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,2010-05-28,10244
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,2010-05-07,10232
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",2010-04-16,10217
Innovative Bank,Oakland,CA,23876,Center Bank,2010-04-16,10214
"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",2010-02-19,10185
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,2010-01-29,10177
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",2009-12-18,10167
Imperial Capital Bank,La Jolla,CA,26348,City National Bank,2009-12-18,10161
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,2009-11-13,10150
United Commercial Bank,San Francisco,CA,32469,East West Bank,2009-11-06,10147
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,2009-10-30,10139
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,2009-10-30,10134
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,2009-10-30,10135
San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,2009-10-16,10126
Affinity Bank,Ventura,CA,27197,Pacific Western Bank,2009-08-28,10110
Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,2009-07-17,10082
Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,2009-07-17,10083
Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,2009-06-26,10072
MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,2009-06-26,10071
First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,2009-04-24,10054
County Bank,Merced,CA,22574,Westamerica Bank,2009-02-06,10034
Alliance Bank,Culver City,CA,23124,California Bank & Trust,2009-02-06,10035
1st Centennial Bank,Redlands,CA,33025,First California Bank,2009-01-23,10030
PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.",2008-11-21,10024
Downey Savings & Loan,Newport Beach,CA,30968,"U.S. Bank, N.A.",2008-11-21,10023
Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,2008-11-07,10020
"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,2008-07-25,10009
IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB",2008-07-11,10007
Southern Pacific Bank,Torrance,CA,27094,Beal Bank,2003-02-07,4660
